,id,awardeeName,awardeeStateCode,startDate,expDate,title,abstractText,fundsObligatedAmt,fundsObligatedAmt,org_state_full,awardeeName_norm
14959,2422939,Purdue University,IN,2024-08-01,2027-07-31,mca building a conceptual ecology of the engram,memory is an important cognitive ability its significance is often made most apparent by its disruptions from everyday misremembering to post traumatic stress disorder and to the onset of alzheimer s explaining treating and possibly ameliorating these memory malfunctions requires an understanding of how the brain retains memories in the first place finding the engram the neural mechanism of memory retention has been a guiding project for neuroscience since its earliest days but while it has long been assumed that there was an engram only recently with the development of new tools and technologies have specific engrams been identified and activated these exciting discoveries raise questions as to how the engram as a concept should be updated expanded or revised to accommodate them a more detailed framework for the engram concept can help both scientists and the broader public understand the significance of recent discoveries and how they can be used to make further progress in treating memory disorders this project in the philosophy of neuroscience employs methods from biology and the history and philosophy of science that have been used to understand the gene concept i e the changes it s undergone from mendel s peas to dna to genomics to build a comparable framework of understanding for the engram how neuroscientists working at different times with different tools research questions and populations think about this basic unit of memory the project includes updated trainings in opto genetics and other new intervention technologies alongside close collaboration with leading engram neuroscientists to ensure the framework is well grounded and representative by offering context for recent discoveries in the neuroscience of memory this project demonstrates the importance of the intersection between neuroscience and philosophy for understanding features of the mind and cognition and for promoting science literacy and engagement with the broader public this award reflects nsf s statutory mission and has been deemed worthy of support through evaluation using the foundation s intellectual merit and broader impacts review criteria,208090,208090,Indiana,Purdue University
22347,2247718,"University of Maryland, College Park",MD,2023-09-01,2026-08-31,gem energy conversion associated with non equilibrium velocity distribution functions in dayside magnetopause reconnection,dayside magnetopause reconnection controls plasma and energy input into the magnetosphere from the solar wind it is associated with significant plasma heating and particle acceleration yet these processes are not well understood one reason is that energy conversion between work internal energy and heat is traditionally defined for maxwellian distributions and measured with lower order moments of the velocity distribution function vdf but in collisionless plasmas the vdfs frequently appear in a non maxwellian state such non equilibrium distributions can be unstable to the generation of instabilities and plasma waves which affect the vdfs via self consistent wave particle interactions this project investigates energy conversion associated with non equilibrium vdfs an important study for understanding and predicting space weather the work supports an early career pi and a post doc from an under represented group in stem undergraduate students will be mentored and outreach conducted through the annual maryland day event this project aims to understand when and where and how and how much the energy conversion associated with non equilibrium vdfs occurs during dayside magnetopause reconnection scientific questions when and where does energy conversion associated with non equilibrium vdfs as measured by the kinetic entropy occur in different regions of dimensional d asymmetric magnetic reconnection and what do they imply about the mechanisms of energy conversion what are the differences of energy conversion processes occurring for different conditions of guide field strengths and diamagnetic drift speeds in d asymmetric magnetic reconnection what are the differences of energy conversion processes occurring between d and d asymmetric reconnection methodology using particle in cell simulations the team will analyze the presence of wave activity whether vdfs evolve towards or away from maxwellianity and the presence of chaotic motions by comparing these results they will find where higher order moments are participating in energy conversion and disentangle whether the waves are energizing particles or non maxwellian vdfs are generating waves using the time evolution of non maxwellianity to understand wave particle interactions is a brand new technique the results will be compared to magnetospheric multiscale mms observations this project is directly relevant to the gem focus group magnetic reconnection in the age of the heliophysics system observatory this award reflects nsf s statutory mission and has been deemed worthy of support through evaluation using the foundation s intellectual merit and broader impacts review criteria,554951,554951,Maryland,"University of Maryland, College Park"
26202,2247574,University of Massachusetts Lowell,MA,2023-07-01,2026-06-30,cas collaborative research design characterization and modeling of metal nanocluster electrocatalysts linked to three dimensional graphene,with support of the chemical structure dynamics mechanisms b program of the division of chemistry kwok fan chow jerome delhommelle and mingdi yan of the department of chemistry at the university of massachusetts lowell and gonghu li of the department of chemistry at the university of new hampshire are developing new classes of graphene supported nanocomposite materials for electrocatalytic applications the goal of this research is to develop a new strategy for constructing electrocatalysts from metal nanoclusters mncs and pristine graphene for electrochemical co reduction knowledge gained through the proposed research is expected to improve our fundamental understanding of how the solid solid interface impacts the electrocatalytic properties of nanocomposites such understanding could guide the design and fabrication of innovative devices for renewable energy applications this project will provide excellent training opportunities for undergraduate and graduate researchers promoting the participation of women and underrepresented minorities in stem science technology engineering and mathematics research this project also includes outreach activities multiple one day workshops at both institutions designed for k students to increase the national talent pipeline in nanoscience chemistry and materials science disciplines graphene supported nanocomposite materials have attracted increasing interest among researchers due to their potential applications in various areas including catalysis however in graphene based nanocomposite catalysts the solid solid interfaces between catalysts and graphene are often poorly defined understanding and optimizing such interfaces is particularly important for electrocatalytic applications such as co reduction in which electrons need to migrate from the graphene electrode to the catalyst molecular functionalization of graphene offers enormous opportunities to prepare new electrocatalysts particularly mncs with enhanced electron transfer kinetics using gold nanoclusters auncs as the model mncs this project aims to develop a new strategy for constructing innovative electrocatalysts from mncs and pristine graphene specifically auncs will be covalently attached onto three dimensional pristine graphene dg electrodes through a series of rationally designed molecular linkers this project requires complementary expertise from four research groups a combination of synthesis computational modeling electrochemistry and spectroscopy will be employed to investigate how the linker structure affects the performance of the aunc dg electrocatalytic co reduction it is anticipated that the results obtained will enhance our fundamental understanding of how control over solid solid interfaces at the molecular level impacts the performance of nanocomposite materials in electrochemical devices this award reflects nsf s statutory mission and has been deemed worthy of support through evaluation using the foundation s intellectual merit and broader impacts review criteria,472244,472244,Massachusetts,University of Massachusetts Lowell
35460,2204379,Texas A&M University,TX,2022-07-01,2025-06-30,groups and hyperbolic dynamical systems,the project explores algebraic aspects of chaotic dynamical systems namely systems with hyperbolic behavior this is a classical type of system which has its historical roots in the study of the famous three body problem of physics even after decades of investigations many basic questions about such systems remain open for example it is not known which of these systems have a rigidly algebraic description can be constructed from groups the project aims at studying the connections of hyperbolic dynamical systems with group theory the theory of automata and other branches of algebra conversely the project plans to use the insights gained from the study of hyperbolic systems to solve open questions in group theory the project also includes training and advising of students organization of an annual high school mathematics competition and the completion of a graduate textbook on groups and topological dynamics hyperbolic dynamical systems are classical and well studied examples of chaotic dynamics however several basic open questions remain open one such question is whether every hyperbolic homeomorphism of a locally connected compact space comes from a nilpotent lie group the question is probably very hard but the project outlines several directions toward clarifying group theoretic aspects the project aims to study automatic structures associated with hyperbolic systems and groups generated by such automatic structures these groups may have interesting applications to the theory of the growth of groups and amenability the project s plans also include the study of the relation between group theory contraction coefficients of virtual endomorphisms and the conformal dimension of hyperbolic dynamical systems which can have interesting applications of group theory to rigidity results in dynamics and to asymptotic group theory this award reflects nsf s statutory mission and has been deemed worthy of support through evaluation using the foundation s intellectual merit and broader impacts review criteria,256573,256573,Texas,Texas A&M University
28807,2209591,University of Minnesota-Twin Cities,MN,2022-12-01,2026-11-30,multiscale experimental and numerical investigation of impacts of turbulence and vegetation on flow and solute transport in hyporheic zone,hyporheic zone refers to the interface between the bed and surface water in streams rivers and other aquatic ecosystems contaminants and nutrients are constantly being exchanged between surface and subsurface water in the hyporheic zone controlling water quality the metabolism of benthic microbes and the associated biogeochemical cycling vegetation and turbulence which are ubiquitous in aquatic ecosystems affect surface subsurface exchange and as such impact water quality and stream biogeochemical cycling however how vegetation and turbulence impact exchange remains unclear making it difficult to predict contaminant transport and biogeochemical cycling in streams lakes and coastal areas the proposed study aims to combine laboratory experiments in a water recirculating flume numerical simulation and field experiments in an outdoor stream to quantify the impacts of vegetation and turbulence on flow and solute transport in the hyporheic zone the results from this study will help improve predictions of contaminant transport and biogeochemical cycling in streams and other aquatic ecosystems as well as help ecologists design stream restoration projects that use vegetation to increase the retention and degradation of contaminants in sediment the proposed project will also train next generation scientists including two graduate students and undergraduates from underrepresented groups further a demonstration hands on activity will be developed and used in outreach events for k girls and teachers the goal of the proposed research is to quantitatively characterize the role of turbulence and in channel vegetation on hyporheic exchange and propose a multi scale modeling framework for predicting hyporheic exchange and solute transport in meandering channels with bedforms turbulent flows and in channel vegetation systematically controlled experiments with refractive index matched sediment and vegetation as well as fluorescent dye imaging will be conducted in flumes to directly visualize and quantify the turbulence and vegetation induced hyporheic exchange a physics based theoretical model will be developed to predict hyporheic exchange as a function of turbulent kinetic energy and vegetation stem size volume fraction and drag coefficient the theoretical model will then be incorporated into a multiscale numerical modeling framework to investigate the combined effects of the important drivers including near bed turbulence vegetation bedforms and channel meanderings on flow and solute transport in complex meandering streams the modeling results will be further validated by field tracer experiments in an outdoor meandering channel with bedforms turbulent flows and vegetation this award reflects nsf s statutory mission and has been deemed worthy of support through evaluation using the foundation s intellectual merit and broader impacts review criteria,553400,553400,Minnesota,University of Minnesota-Twin Cities
20018,2320379,University of Oklahoma Norman Campus,OK,2023-10-01,2026-09-30,mri track acquisition of a real time hybrid simulation testing system for cyber physical research and training,this major research instrumentation mri award supports the acquisition of a state of the art structural testing instrument the instrument will enable cyber physical hybrid tests these tests coordinate the response of a cyber numerical model and a physical experimental test specimen in real time in doing so the instrument better replicates realistic loading conditions these loading conditions include for example the impacts of natural hazards on the nation s critical infrastructure the cyber physical tests conducted with the instrument will help to better understand the performance of innovative infrastructure materials and components the structural materials and components validated using the instrument will help to mitigate economic property and human losses caused by natural hazards improving the well being of individuals in society the new instrument will transform the way the multidisciplinary mri team conducts research at the university of oklahoma ou will foster technology transfer with industry and will promote the development of a globally competitive science technology engineering the arts and mathematics steam workforce the instrument will also be a resource for researchers in the surrounding region addressing the demand for more resilient infrastructure requires an improved basic understanding of the complex behavior and performance of building materials and structural components subject to realistic loading produced by natural hazards such loading conditions can be realized using real time hybrid simulation rths facilitated by the acquired instrument research enabled by the instrument will reveal the physics behind the complex nonlinear behavior of innovative structural components quantify their performance in civil e g buildings and bridges and energy e g solar and wind applications advance physics based mathematical models of such components and catalyze multidisciplinary and fundamental research involving additive manufacturing material science and the arts the fundamental understanding of these structural materials and components will result in new technologies for resilient infrastructure overall the rths instrument will produce the complex loading conditions needed to advance multidisciplinary research projects this project is jointly funded by the major instrumentation research program mri the established program to stimulate competitive research epscor and the engineering for civil infrastructure program eci in the division of civil mechanical and manufacturing innovation cmmi this award reflects nsf s statutory mission and has been deemed worthy of support through evaluation using the foundation s intellectual merit and broader impacts review criteria,589262,589262,Oklahoma,University of Oklahoma Norman Campus
12705,2416844,University of Iowa,IA,2024-09-01,2027-08-31,collaborative research through space and time structural dynamics in ionic liquids from multiple perspectives,with support from the chemical structure and dynamics csd program in the division of chemistry professor claudio margulis of the university of iowa and professor andrew nieuwkoop of rutgers university are investigating the structure and dynamics of ionic liquids ils and more specifically what they call their liquid inside a liquid behavior using a variety of experimental and computational techniques a challenging aspect of the work is that it deals with an in between dynamical regime in which ils are too viscous for sophisticated liquid state nmr techniques but too soft for solid state nmr this challenge extends also to the computational realm as highly viscous ils such as those close to their glass transition are difficult to simulate the pis will use a combination of advanced nmr techniques scattering and computer simulations to jointly investigate intra and inter ionic dynamics in an atom selective manner for a set of selected ils collaboration with prof sharon lall ramnarine from queensborough community college and her students as well as other scientists will continue to broaden the reach of the work professors margulis and nieuwkoop will probe whether the charge network present in all ils and the apolar domain present for some ils each slow down at a different rate in other words if the charge network the matrix rigidifies first and only at lower temperature do the secondary motions of the apolar domain slow down the study of specific ils across a range of temperatures could also shed light on structural population changes in the condensed phase their discoveries could impact our understanding of fundamental phenomena such as how ions move on time scales relevant to transport phenomena they could also shed light on recently discovered but not yet understood liquid liquid phase transitions in ils finally professors margulis and nieuwkoop will continue to engage students from community college graduate students and postdocs as well as colleagues at symposia and conferences where vibrant scientific exchanges on ils will take place this award reflects nsf s statutory mission and has been deemed worthy of support through evaluation using the foundation s intellectual merit and broader impacts review criteria,430000,430000,Iowa,University of Iowa
45359,2048389,University of Washington,WA,2021-07-15,2026-06-30,role of the southern ocean meridional overturning circulation in the oceanic distributions of n o,nitrous oxide n o is a trace atmospheric gas whose natural concentrations are being affected by the activities of man its atmospheric concentrations have increased at the rate of approximately parts per billion ppb per year from pre industrial levels of ppb to over ppb at present this trace gas both acts as a greenhouse gas and contributes to the depletion of ozone in the upper atmosphere the ocean is a significant source of n o to the atmosphere contributing nearly of the annual global input to the atmosphere n o is produced within the ocean by the biologically mediated processes that affect the oceanic distribution of this compound however measurements of the concentrations of n o in the world oceans are relatively sparse in order to better model how the n o concentrations may change in response to changes in the climate it is important to monitor the current distributions of this trace gas in the ocean and to determine the rates at which the concentrations are changing over the past decade an analytical method for measuring the n o concentrations from seawater samples collected for measurement of the anthropogenic tracers i e cfc cfc and sf has been developed preliminary measurements of n o concentrations have been made on several go ship hydrographic sections one component of this proposal is to finalize these data sets by ensuring they are reported on the same calibration scale and that they have undergone the same steps in the final processing of the data these n o data will then be merged with the hydrographic data and made available for the broader scientific community via the climate and carbon hydrographic data office this research will specifically focus on southern ocean where only a few previous measurements of n o has been made but is an important region for setting the concentrations of trace gases within the deep and bottom waters of the ocean we propose to analyze dissolved n o from five surveys into and within the southern ocean this will allow the southern ocean influence of air sea exchange and of in situ production of n o to be characterized and will allow the n o of southern ocean water masses to be quantified these will provide critical endmember information on the production rate estimates in the adjoining basins thus improving our understanding and monitoring of the ocean s likely changing n o cycle this award reflects nsf s statutory mission and has been deemed worthy of support through evaluation using the foundation s intellectual merit and broader impacts review criteria,381199,381199,Washington,University of Washington
29885,2216501,University of California-Los Angeles,CA,2022-10-01,2025-09-30,developing change leaders in advanced teaching and learning in higher education a change leadership development program,this project aims to serve the national interest by preparing future faculty to lead change efforts toward sustained improvement in undergraduate stem teaching and learning the center for the integration of research teaching and learning cirtl change leadership development program cldp will strengthen undergraduate stem education by preparing graduate students and postdoctoral scholars gs ps to be future change leaders in advancing inclusive evidence based teaching ebt cirtl a national science foundation center for learning and teaching in higher education aims to improve science technology engineering and mathematics stem learning of all students at every college and university thereby increasing diversity in stem fields and improving the stem literacy of the nation to meet this goal cirtl s training through online workshops courses and teaching institutes prepares gs ps to use inclusive ebt approaches as a means for developing a national stem faculty committed to implementing and advancing effective teaching practices for diverse students while cirtl graduates enter careers well prepared to support the learning of diverse students within their own classes and labs they typically do not have opportunities to learn about change leadership defined by the ability to navigate complex organizational systems model leadership characteristics to inspire action in others and effectively guide the change process gs ps will become change leaders by using strategies to advance inclusive ebt as they assume their teaching and research responsibilities through participation in cldp trainees will be better prepared to influence their colleagues departments and institutions from both formal and informal leadership roles through both the examples they set in their own practice and their informed knowledge of how to engage in institutional decision making culture change and policy development they will be prepared to lead the effort toward lasting change in collaboration with graduate universities in the cirtl network the trainees of cldp will advance education to be more inclusive and evidence based ultimately increasing student engagement learning and retention in stem fields and reducing the equity gaps across the nation s diverse student population the cldp supports gs ps in achieving three primary goals identifying as a change leader examining higher education institutions as complex institutions as well as analyzing leadership approaches and change theories and developing strategies skills and abilities appropriate for serving as a change leader while holding a position as an early career faculty member the cdlp is a two tiered program that provides an ever increasing level of engagement through participation in a week online course tier i equips participants with the knowledge and skills to inspire and influence others and analyze their institution s structure tier ii furthers their leadership development through participation in an online leadership institute followed by an applied leadership project or experience at their home institution the program culminates in a virtual leadership summit where participants present their projects and share their experience with their mentors peers and the cirtl network and national partners additional training on specialty topics offered through cirtl cross network programming allows participants to further their leadership development as they have time and interest the planning and piloting of the cldp will be carried out over a two year timeline the project will develop a needs assessment to inform our learning outcomes for each domain develop content and formative assessment for the two tiers of engagement pilot all elements of each tier and develop and implement a research and evaluation plan for the program collecting data about leadership expectations from multiple perspectives including students faculty and administrators will inform and guide the program s development and ensure its long term sustainability as our understanding of what makes an effective leadership development program expands the results will contribute to the knowledge and quality of change leaders this effective development of future change leaders will become a critical lever for bringing about organizational change in higher education the nsf iuse ehr program supports research and development projects to improve the effectiveness of stem education for all students through the institutional and community transformation track the program supports efforts to transform and improve stem education across institutions of higher education and disciplinary communities this award reflects nsf s statutory mission and has been deemed worthy of support through evaluation using the foundation s intellectual merit and broader impacts review criteria,299984,299984,California,University of California-Los Angeles
48901,1951835,Northwestern University,IL,2020-11-15,2025-10-31,nsfgeo nerc collaborative research developing a new lower cretaceous time scale foundation for the next generation of paleoceanographic and biogeochemical studies,the cretaceous was a time of global warming during which atmospheric carbon dioxide levels surpassed ppm similar to those predicted for by business as usual emission scenarios cretaceous rocks record high sea levels high biological productivity massive volcanism and major perturbations of the carbon cycle during several ocean anoxic events oaes understanding these phenomena can provide deep time analogs for future greenhouse scenarios marine sediments that record these crises are globally widespread but weaving these records into a common temporal framework is essential if they are to reveal the causes this project aims to generate a new temporal framework spanning to million years ago during which several major oaes occurred this will permit examination of repeated deteriorations of marine ecosystems across the pacific atlantic and mediterranean oceans the team will be involved in novel outreach international collaboration and training of future earth science leaders they will bring deep time science to the public via presence at the sturgis motorcycle rally the favored hypothesis for ocean anoxic events involves volcanic initiation leading to a cascade of processes amplifying global marine production key factors are the nature of volcanism and the source of increased nutrients yet geographic differences in proxy records carbon and osmium isotopes indicate additional complexities such as sea level and ocean circulation the goals for the project are to establish a new time scale for global geochemical and paleobiologic datasets chemostratigraphic correlation of the new time scale to european sections using isotope stratigraphy and a new global time scale for improved understanding of major biogeochemical perturbations the team will i determine radioisotopic ages of rhyolitic tuffs in sediments of japan ii integrate these new ages with new osmium and carbon isotope chemostratigraphy in europe iii compile global geochemical proxy data for oae a within a common temporal and stratigraphic framework and analyze trends and patterns from the pacific to europe iv evaluate the volcanic versus climatic orbital hypotheses for oae initiation and v explore the significance of geography in the timing and magnitude of geochemical signals this is a project that is jointly funded by the national science foundation s directorate of geosciences nsf geo and the national environment research council ukri nerc of the united kingdom uk via the nsf geo nerc lead agency agreement this agreement allows a single joint us uk proposal to be submitted and peer reviewed by the agency whose investigator has the largest proportion of the budget upon successful joint determination of an award each agency funds the proportion of the budget and the investigators associated with its own investigators and component of the work this award reflects nsf s statutory mission and has been deemed worthy of support through evaluation using the foundation s intellectual merit and broader impacts review criteria,301854,301854,Illinois,Northwestern University
41338,2047460,University of Louisville Research Foundation Inc,KY,2021-09-01,2026-08-31,career understanding interfaces in sulfide based all solid state na batteries,sodium ion batteries offer an economic advantage over li ion batteries as they can achieve similar performance using naturally abundant sodium na additionally solid state na batteries ssnbs that use solid na ion conductors instead of liquid electrolytes improve device safety and are applicable to mid and large scale energy storage systems such as electric vehicles and utility grids in this project sulfide solid electrolytes ses will be investigated for their superior ionic conductivity however for sulfide based ssnbs high interfacial resistance remains a challenge to maximizing performance and commercialization this research project will systematically investigate structural changes at the two main interfaces in sulfide based ssnbs to fundamentally understand the sodium ion transport across those interfaces the investigators aim to address critical interface issues preventing high battery performance this research will be integrated with outreach and education efforts such as creating women engineering network program and a collaboration with kentucky science center these initiatives will encourage more students from underrepresented minority groups such as k girls to enroll in the science technology engineering and mathematics stem majors as well as increase the public s scientific awareness on electrochemical energy storage and its role in using clean energy sources the technical goal of this project is to fundamentally understand the origins of interfacial resistance at both na anode sulfide ses and cathode sulfide ses interfaces the investigators will use this fundamental knowledge to engineer sulfide ses with reduced resistance across interface and achieve advanced ssnbs with high energy density and stability the first objective is to investigate the compatibility of halide doped sulfide solid electrolyte with electrodes both na anode and cathodes to elucidate the halide doping effects on interface resistance the second objective aims to understand na ion transport mechanisms in sulfide polymer composite solid electrolytes cses as well as across the interfaces of cse electrodes in na symmetric cells and ssnbs the third objective focuses on study the cycling performance of sulfide based ssnbs that use metal sulfide cathodes with different levels of volume change aiming to determine the volume expansion contraction effects on the interface resistance in ssnbs during their repeated charge discharge cycling process the fundamental knowledge obtained from this project will give insights into engineering interface design to reduce the interfacial resistance overcome an important roadblock to achieve advanced solid state na batteries with high capacities and long lifetimes this award reflects nsf s statutory mission and has been deemed worthy of support through evaluation using the foundation s intellectual merit and broader impacts review criteria,526106,526106,Kentucky,University of Louisville Research Foundation Inc
43958,2103628,Montana State University,MT,2021-08-15,2025-07-31,collaborative research semiconducting behavior in silsesquioxane macromonomers and polymers,with support of the macromolecular supramolecular and nanochemistry program in the division of chemistry professors richard laine and john kieffer of the university of michigan ann arbor and professor aleks rebane of montana state university will develop new families of silicone based polymers silicone oils and rubbers are hydrophobic colorless and electrically insulating materials and as such find wide uses recently two families of silicon containing polymers were developed wherein silicon containing building blocks alternate with fluorescent ones unlike most known silicon based materials these polymers are intensely colored brightly fluorescent and behave as semiconductors importantly they still retain key properties of traditional silicones such as water and flame resistance semiconducting polymers such as organic light emitting diodes oleds are found in flat panel displays and in some instances can be used to convert sunlight into electricity hence the study of these new polymer families could lead to unexpected and potentially useful properties bringing new low cost and more robust materials to many everyday societal applications this research project will facilitate the training of graduate and undergraduate students to expand knowledge of these materials and their behavior silsesquioxanes sqs are unique regularly symmetric d macromolecules that resemble single silica crystals in being extremely robust some remaining air stable up to c the phenyl derivatives of sqs can also be selectively functionalized by using electrophilic substitution reactions the cage centers interact with appended moieties in the excited state providing d conjugation cage centered lumos and semiconducting behavior there is potential to develop new families of polymers with semiconducting properties wherein siloxane bridges offer potential value for photonic applications for example for displays hybrid lasers and photovoltaics these avenues of scientific inquiry which constitute the basis for the broad collaboration aim at expanding the number of cage architectures that form the presumed cage centered lumos detailing the substitution patterns required to promote onset of such properties and optimizing one and two photon quantum efficiencies for display white light and laser applications these goals will be pursued through detailed photophysical measurements theoretical modeling and electrochemical probing with the aim of improving fundamental understanding of structure property relationships in this polymer family the potential exists to make available important new sets of semiconducting polymers for chemists physicists and materials scientists and engineers this award reflects nsf s statutory mission and has been deemed worthy of support through evaluation using the foundation s intellectual merit and broader impacts review criteria,101223,101223,Montana,Montana State University
32929,2211767,University of California - Merced,CA,2022-09-01,2026-08-31,collaborative research continent wide forest recruitment change the interactions between climate habitat and consumers,the sustainability of north american forests depends on seed production by trees as well as seedlings that must establish for the next generation of trees for most of north america neither the amounts of seed that are produced nor how much of that seed survives to become adult trees is known population spread beyond current frontiers will be governed by seed production of trees fecundity germination and seedling survival the capacity of trees to produce seed and disperse it to the habitats where populations can survive in the future planning for environmental change impacts requires this knowledge to anticipate tree species migrations and its impacts on the birds and mammals that depend on forests for habitat and food understanding these forest recruitment responses requires a methodological shift from the current method of monitoring of seeds seedlings and consumers on small plots to extensive sampling methods that can be implemented at biogeographic scales this study combines continental scale tree fecundity estimates with a new generation of monitoring and synthesis methods for integrating tree fecundity seedling success and its impacts on animal consumers this research will quantify current trends across the continent the changes in forests that are happening now and the habitat changes that are causing them development of a biogeographic network of tree fecundity and recruitment will provide the monitoring platform needed for science and management of future forests broader impacts will focus on stakeholder integration including conservation and management planning information transfer to stakeholders in federal and state agencies and citizen science outreach products of the study will have immediate application to forest regeneration practices in the coming decades agency and ngo stakeholders will advise and disseminate products of the study new analytical tools will identify where tree recruitment is limited in north america its rate of change and what s causing it the project focuses on three recruitment stages seed supply seed mass per tree abundance seedling establishment seedlings per seed mass and recruitment rate advanced regeneration per seedling each recruitment stage will be linked to climate and habitat variables and to the vertebrate consumers of seeds fruits and nuts extensive gradient sampling egs is a new approach to estimate the key demographic rates that are relevant at the scale of habitats or plant communities while combining it with traditional data already available from the meter scale intensive monitoring sampling ims the project will include data collection based on this new approach egs of fecundity tree recruitment and vertebrates distributed across climate and habitats predictive vertebrate modeling pvm of activity based on camera traps snapshot usa neon and this study live trapping neon sites and bird point counts bbs neon and ebird across north america will be conducted by the research team by understanding tree recruitment and the vertebrates that depend on them this study will i identify the species that are limited by recruitment including the habitats and stages where limitation occurs ii quantify the relationship with vertebrate activity and iii evaluate predictive distributions of change that account for climate vertebrate interactions fitted to data quantifying tree fecundity and animal consumer relationships at biogeographic scales will provide a foundation for the next generation of efforts to understand food web implications of environmental change this award reflects nsf s statutory mission and has been deemed worthy of support through evaluation using the foundation s intellectual merit and broader impacts review criteria,287115,287115,California,University of California - Merced
25410,2245372,University of California-Irvine,CA,2023-07-15,2026-06-30,collaborative research satc core medium compliance as a service case a reflective approach to enforcing user privacy regulations,this project seeks to enable transforming existing data infrastructures to comply with user data protection legislation and regulations the project s novelties are its formal model of data protection policy compliance that helps system designers to reason about regulations and demonstrate systems compliance with them the project s broader significance is its potential to address consumer privacy and data security concerns associated with emerging technologies such as the internet of things and cloud computing as recent events involving corporate use of consumer data have demonstrated privacy and data security issues are increasingly connected in the modern information age to concerns about democracy equality national security and freedom all of which carrying implications for both individuals and society the benefits of this work include managing cyber threats and addressing data privacy and policy concerns in applications that utilize personal and sensitive data the work also includes educational outreach efforts for students in computing with the goal to expose them to research with community benefits the project consists of four research thrusts the first provides a grounding of data protection legislation and regulation to provide a system design centric formal model of policy compliance this involves studying the implications of developing a formal model in terms of validating and proving compliance with regulations the second thrust tackles the challenges in managing policies of transformed data sent across different system components which involves designing data abstractions that express the data and policy transformation the third thrust includes methods that allow efficient and fast adaptation of existing and legacy data systems to policy changes this includes designing data structures that are sharded based on policies enabling isolation of the data shards impacted by policy changes the fourth thrust provides a scalable distributed logging system to cater to the auditing requirements of data protection regulations this award reflects nsf s statutory mission and has been deemed worthy of support through evaluation using the foundation s intellectual merit and broader impacts review criteria,743087,743087,California,University of California-Irvine
24055,2315029,Carnegie-Mellon University,PA,2023-08-15,2025-04-25,collaborative research energy efficiency and energy justice understanding distributional impacts of energy efficiency and conservation programs and the underlying mechanisms,the adoption of energy efficiency technologies and conservation behaviors has the potential to significantly reduce energy demand and improve people s physical and financial well being this is particularly important for households facing energy poverty who may forgo basic needs or engage in risky behaviors to meet their energy needs u s electric utilities currently offer over energy efficiency and conservation programs that aim to reduce household energy consumption and improve living conditions these programs either provide information to help individuals change their energy consumption habits or offer financial incentives such as rebates and loans to lower the costs of adopting energy efficient technologies there is mixed evidence however regarding the cost effectiveness of these programs as their impacts depend on factors including income levels rebound effects and energy consumption behaviors unfortunately many energy efficiency and conservation programs are not effectively reaching disadvantaged communities and the equity of their impacts is under studied there is a need to investigate how these programs can effectively change energy consumption behavior and address instances of energy poverty in households this project examines the heterogeneous impacts of multiple energy efficiency and conservation programs and the underlying mechanisms that contribute to inequitable program impacts this project has three parts evaluating the heterogeneous impacts of four different energy efficiency and conservation programs using quasi experimental designs examining how the heterogeneous impacts are related to multi dimensional energy poverty and modeling energy behaviors to uncover the mechanisms behind inequitable program impacts the data include actual consumption information provided by a tallahassee energy provider as well as survey and experimental results this project not only provides a fundamental scientific contribution to uncovering the distributional impacts of energy programs and their underlying mechanisms but also has direct societal benefits by helping develop more effective and better targeted programs to improve consumers financial and physical well being particularly in disadvantaged communities this award reflects nsf s statutory mission and has been deemed worthy of support through evaluation using the foundation s intellectual merit and broader impacts review criteria,200000,200000,Pennsylvania,Carnegie-Mellon University
